"N.Registro";"Tipo";"Categoría";"Nombre";"Dirección";"C.Postal";"Provincia";"Municipio";"Localidad";"Nucleo";"Teléfono 1";"Teléfono 2";"Teléfono 3";"Email";"web";"Q Calidad";"Plazas";"GPS.Longitud";"GPS.Latitud";"accesible a personas con discapacidad";
"24/000279";"Cafetería";"2ª - 1 Taza";"LAS TAPAS";"C/ JUAN LORENZO SEGURA, 4";"24001";"León";"León";"LEON";"LEON";"652306499";"";"";"javibarroso@yahoo.es";"";"";"83";"";"";"";
"24/000249";"Cafetería";"2ª - 1 Taza";"VICMAR";"AVDA. PADRE ISLA, 56";"24002";"León";"León";"LEON";"LEON";"987272579";"";"";"";"";"";"28";"";"";"";
"24/000241";"Cafetería";"2ª - 1 Taza";"VIEJO";"AVDA CONSTITUCION, 37";"24850";"León";"Boñar";"BOÑAR";"BOÑAR";"987741712";"";"";"";"";"";"65";"";"";"";
"37/000101";"Cafetería";"2ª - 1 Taza";"VILLA ROMANA";"SAN ROQUE, 10";"37330";"Salamanca";"Babilafuente";"BABILAFUENTE";"BABILAFUENTE";"356074";"";"";"";"";"";"30";"";"";"";
"24/000243";"Cafetería";"2ª - 1 Taza";"RIDERS PIZZA";"AVDA CONSTITUCION 17";"24100";"León";"Villablino";"VILLABLINO";"VILLABLINO";"677504350";"";"";"";"";"";"43";"";"";"";
"37/000099";"Cafetería";"2ª - 1 Taza";"VILLAROSA";"VENTURA RUIZ AGUILERA, 8";"37001";"Salamanca";"Salamanca";"SALAMANCA";"";"213757";"";"";"";"";"";"43";"";"";"";
"37/000061";"Cafetería";"2ª - 1 Taza";"LIMÓN SERRANO";"Paseo DOCTOR TORRES VILLARROEL 24  Bº";"37005";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"635490668";"";"";"";"";"";"47";"-5,663191";"40,971758";"";
"42/000009";"Cafetería";"1ª - 2 Tazas";"VIRREY PALAFOX";"TRAVESIA DE ACOSTA, S/N";"42300";"Soria";"Burgo de Osma-Ciudad de Osma";"BURGO DE OSMA (EL)";"";"975340222";"";"";"";"";"";"60";"";"";"";
"47/000094";"Cafetería";"1ª - 2 Tazas";"W. AMADEUS";"MENENDEZ PELAYO 7";"47001";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983297777";"";"";"";"";"";"170";"";"";"";
"37/000154";"Cafetería";"2ª - 1 Taza";"WELLINGTON";"PRADO, 13";"37007";"Salamanca";"Salamanca";"SALAMANCA";"";"217287";"";"";"";"";"";"48";"";"";"";
"47/000103";"Cafetería";"2ª - 1 Taza";"WUNNIE";"PZA. LA TOMATERA, S/N";"47140";"Valladolid";"Laguna de Duero";"LAGUNA DE DUERO";"LAGUNA DE DUERO";"983540793";"";"";"";"";"";"16";"";"";"";
"42/000008";"Cafetería";"2ª - 1 Taza";"YORK BUS";"AVENIDA DE VALLADOLID, 40";"42001";"Soria";"Soria";"SORIA";"SORIA";"975228942";"";"";"";"";"";"88";"";"";"";
"47/000058";"Cafetería";"2ª - 1 Taza";"YOVILANT";"SAN JOSE 19";"47007";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983475614";"669433056";"";"";"";"";"50";"";"";"";
"37/000069";"Cafetería";"2ª - 1 Taza";"YOVOY";"AVDA. DEL SERRADOR, 4";"37300";"Salamanca";"Peñaranda de Bracamonte";"PEÑARANDA DE BRACAMONTE";"PEÑARANDA DE BRACAMONTE";"923540750";"";"";"";"";"";"52";"";"";"";
"47/000062";"Cafetería";"2ª - 1 Taza";"ZOBEL";"Plaza PEPE ZORITA 2";"47100";"Valladolid";"Tordesillas";"TORDESILLAS";"TORDESILLAS";"983770932";"";"";"";"";"";"24";"";"";"";
"24/000288";"Cafetería";"2ª - 1 Taza";"BOA";"C/ ROA DE LA VEGA, 4";"24002";"León";"León";"LEON";"";"987227942";"";"";"";"";"";"60";"";"";"";
"40/000020";"Cafetería";"2ª - 1 Taza";"LOS PATIOS DE SAN LORENZO";"Calle SANTA CATALINA 14";"40003";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"921000000";"";"";"";"";"";"20";"";"";"";
"09/000074";"Cafetería";"1ª - 2 Tazas";"AREA DE LA VILLA";"CTRA. MADRID-IRUN, KM. 203";"09340";"Burgos";"Lerma";"LERMA";"";"171030";"";"";"";"";"";"24";"";"";"";
"09/000030";"Cafetería";"2ª - 1 Taza";"BIG BOLERA";"SORIA, S/N";"09004";"Burgos";"Burgos";"BURGOS";"BURGOS";"947225512";"";"";"";"";"";"21";"";"";"";
"09/000072";"Cafetería";"2ª - 1 Taza";"BINGO ALMIRANTE";"VITORIA, 22";"09004";"Burgos";"Burgos";"BURGOS";"BURGOS";"947206943";"";"";"";"";"";"348";"";"";"";
"09/000060";"Cafetería";"2ª - 1 Taza";"BOLERA PLAYER";"PZA. CLARET, S/N";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"ARANDA DE DUERO";"947509293";"";"";"";"";"";"112";"";"";"";
"09/000024";"Cafetería";"2ª - 1 Taza";"CADAGUA";"CL/ANGEL NUÑO GARCÍA, 26";"09580";"Burgos";"Valle de Mena";"VILLASANA DE MENA";"VILLASANA DE MENA";"947126125";"";"";"hotelcadagua@telefonica.net";"";"";"60";"";"";"Si";
"09/000053";"Cafetería";"2ª - 1 Taza";"FRÍAS";"CTRA/QUINTANA MARTÍN GALINDEZ, KM, 3";"09211";"Burgos";"Frías";"FRIAS";"*DISEMINADO*";"947 357198";"675701878";"";"info@campingfrias.com";"";"";"76";"";"";"Si";
"09/000014";"Cafetería";"2ª - 1 Taza";"CHICO";"CL/SAN ROQUE, 16";"09550";"Burgos";"Villarcayo de Merindad de Castilla la Vieja";"VILLARCAYO";"VILLARCAYO";"947131045";"";"";"barchicovillarcayo@hotmail.com";"";"";"19";"-3,5730556";"42,9383333";"Si";
"09/000061";"Cafetería";"2ª - 1 Taza";"DOÑA MANOLITA";"Calle SANTA LUCIA 4";"09200";"Burgos";"Miranda de Ebro";"MIRANDA DE EBRO";"MIRANDA DE EBRO";"686509941";"";"";"";"";"";"188";"";"";"";
"09/000062";"Cafetería";"2ª - 1 Taza";"LA ESTACION";"CTRA. VALLADOLID, S/N";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"*DISEMINADO*";"509091";"";"";"";"";"";"105";"";"";"";
"09/000066";"Cafetería";"2ª - 1 Taza";"LA FRAGUA";"MERIDA, 5";"09007";"Burgos";"Burgos";"BURGOS";"BURGOS";"947 484943";"";"";"";"";"";"44";"";"";"";
"09/000082";"Cafetería";"2ª - 1 Taza";"HOSPITAL C. SANTIAGO APOSTOL";"CTRA/DE ORÓN,S/N";"09200";"Burgos";"Miranda de Ebro";"MIRANDA DE EBRO";"";"947314744";"";"";"";"";"";"48";"";"";"Si";
"09/000048";"Cafetería";"2ª - 1 Taza";"JARA";"Calle Regino Sainz de la Maza 10";"09004";"Burgos";"Burgos";"BURGOS";"BURGOS";"650156096";"947413796";"";"evi.29.28@gmail.com";"";"";"36";"";"";"Si";
"09/000006";"Cafetería";"2ª - 1 Taza";"LAGO 137";"Calle Vitoria, 137";"09007";"Burgos";"Burgos";"BURGOS";"BURGOS";"630081566";"";"";"";"";"";"69";"-3,674961";"42,350288";"Si";
"09/000068";"Cafetería";"2ª - 1 Taza";"MENFIS";"Avenida de la Paz, 10";"09004";"Burgos";"Burgos";"BURGOS";"BURGOS";"669705775";"";"";"nuevomenfis@hotmail.com";"";"";"72";"";"";"Si";
"09/000046";"Cafetería";"2ª - 1 Taza";"LA PARADA";"LOGROÑO, 32";"09200";"Burgos";"Miranda de Ebro";"MIRANDA DE EBRO";"MIRANDA DE EBRO";"947310475";"";"";"";"";"";"88";"";"";"";
"09/000026";"Cafetería";"2ª - 1 Taza";"EL RINCÓN DEL PARRY'S";"CL/LAIN CALVO, 6";"09003";"Burgos";"Burgos";"BURGOS";"BURGOS";"947104718";"";"";"";"";"";"63";"-3,702115";"42,3416269";"";
"09/000065";"Cafetería";"2ª - 1 Taza";"EL PUEBLO TAPAS Y CAÑAS";"CL/PUEBLA, 3";"09004";"Burgos";"Burgos";"BURGOS";"BURGOS";"947266050";"";"";"elpueblotapas@gmail.com";"";"";"82";"";"";"Si";
"09/000069";"Cafetería";"2ª - 1 Taza";"PISCINAS SAN AMARO";"Calle Villacián s/n";"09001";"Burgos";"Burgos";"BURGOS";"BURGOS";"947207201";"";"";"";"";"";"87";"";"";"";
"09/000071";"Cafetería";"1ª - 2 Tazas";"PUERTA DE BURGOS";"CL/VITORIA, 69";"09006";"Burgos";"Burgos";"BURGOS";"BURGOS";"947241000";"";"";"hotel@puertadeburgos.es";"www.puertadeburgos.es";"";"76";"";"";"Si";
"09/000078";"Cafetería / Bar";"2ª - 1 Taza";"NUEVO RENO";"Calle Vitoria, 204";"09007";"Burgos";"Burgos";"BURGOS";"BURGOS";"676033632";"";"";"cristianpaun12@yahoo.es";"";"";"40";"";"";"Si";
"09/000045";"Cafetería";"2ª - 1 Taza";"TOFER";"JUSTO CANTON, 20";"09240";"Burgos";"Briviesca";"BRIVIESCA";"BRIVIESCA";"590887";"";"";"";"";"";"110";"";"";"";
"09/000028";"Cafetería";"1ª - 2 Tazas";"TRES CONDES";"AVDA. CASTILLA, 66";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"ARANDA DE DUERO";"947502400";"";"";"";"";"";"248";"";"";"";
"09/000019";"Cafetería";"2ª - 1 Taza";"LA VARGA";"CTRA. N-I, KM. 232-VILLAGONZALO P.";"09195";"Burgos";"Burgos";"BURGOS";"BURGOS";"201640";"";"";"";"";"";"79";"";"";"";
"09/000008";"Cafetería";"1ª - 2 Tazas";"JUARREÑO-ALTA PASTELERÍA";"Plaza Santo Domingo de Guzmán, 3";"09004";"Burgos";"Burgos";"BURGOS";"BURGOS";"947271185";"686342066";"";"admin@juarreno.com";"";"";"35";"-3,6998169";"42,3414569";"Si";
"09/000018";"Cafetería";"2ª - 1 Taza";"VIGON";"AVDA. CANTABRIA,  55";"09006";"Burgos";"Burgos";"BURGOS";"";"947 221090";"";"";"";"";"";"48";"";"";"";
"09/000058";"Cafetería";"2ª - 1 Taza";"ZONA";"GENERAL DAVILA, 53";"09006";"Burgos";"Burgos";"BURGOS";"BURGOS";"235320";"";"";"";"";"";"72";"";"";"";
"09/000084";"Cafetería";"2ª - 1 Taza";"ARTHUR'S";"Avenida CANTABRIA 41 ESQUINA REYES CATÓLICOS, 44";"09005";"Burgos";"Burgos";"BURGOS";"BURGOS";"692284811";"";"";"gadufotografia@gmail.com";"";"";"34";"";"";"";
"09/000088";"Cafetería";"2ª - 1 Taza";"LA CORRALA";"Calle Ramón y Cajal, 37";"09200";"Burgos";"Miranda de Ebro";"MIRANDA DE EBRO";"MIRANDA DE EBRO";"947323445";"";"";"";"";"";"92";"";"";"Si";
"09/000037";"Cafetería";"2ª - 1 Taza";"PLAZA";"PLAZA MAYOR,19";"09003";"Burgos";"Burgos";"BURGOS";"";"947205358";"";"";"";"";"";"57";"";"";"Si";
"09/000023";"Cafetería";"1ª - 2 Tazas";"TABERNA DEL JULIA";"SAN GREGORIO, 2";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"ARANDA DE DUERO";"947501250";"";"";"";"";"";"21";"";"";"";
"09/000017";"Cafetería";"2ª - 1 Taza";"CAFETERIA ARATSA 70";"Avenida CASTILLA 19  BJ";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"ARANDA DE DUERO";"619175028";"";"";"";"";"";"40";"";"";"";
"09/000035";"Cafetería";"1ª - 2 Tazas";"AREA TUDANCA";"CTRA. N-I, KM. 152";"09470";"Burgos";"Fuentespina";"FUENTESPINA";"FUENTESPINA";"947506011";"";"";"";"";"";"60";"";"";"";
"09/000009";"Cafetería";"2ª - 1 Taza";"TREINTA Y TRES ""33""";"CTRA. N-I, KM. 245-VILLAFRIA";"09192";"Burgos";"Burgos";"BURGOS";"BURGOS";"947220019";"";"";"";"";"";"32";"";"";"";
"09/000093";"Cafetería";"2ª - 1 Taza";"BURDEOS";"CL/SAN PABLO, 39";"09002";"Burgos";"Burgos";"BURGOS";"BURGOS";"947207442";"";"";"";"";"";"20";"";"";"";
"09/000095";"Cafetería";"2ª - 1 Taza";"EXIT- BURGOS";"CL/MIRANDA, 4";"09002";"Burgos";"Burgos";"BURGOS";"BURGOS";"647363350";"647363392";"";"info@restaurantesexit.com";"www.restaurantesexit.com";"";"38";"";"";"Si";
"09/000100";"Cafetería";"2ª - 1 Taza";"COSTAJAN";"CTRA/MADRID-IRÚN N-l, KM,162";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"*DISEMINADO*";"947 502070";"609546076";"";"campingcostajan@camping-costajan.com";"";"";"72";"-3,68635";"41,7019";"";
"09/000101";"Cafetería";"2ª - 1 Taza";"LA AMARILLA";"Calle San Lorenzo, 26";"09003";"Burgos";"Burgos";"BURGOS";"BURGOS";"947205936";"633806977";"";"";"";"";"28";"-3,701416";"42,341989";"";
"09/000103";"Cafetería";"2ª - 1 Taza";"ELSUPER";"CTRA. LA AGUILERA KM 0,5";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"*DISEMINADO*";"655250721";"";"";"";"";"";"52";"";"";"";
"09/000111";"Cafetería";"2ª - 1 Taza";"LA MILLA";"Plaza Jardines de Don Diego 2";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"ARANDA DE DUERO";"695167357";"";"";"";"";"";"36";"";"";"Si";
"09/000108";"Cafetería";"2ª - 1 Taza";"DON TRIS TRAS";"ARZOBISPO PEREZ PLATERO, Nº 9";"09007";"Burgos";"Burgos";"BURGOS";"";"224621";"";"";"";"";"";"46";"";"";"";
"09/000106";"Cafetería";"1ª - 2 Tazas";"NUEVO DACAROE";"Calle Vitoria, 144";"09007";"Burgos";"Burgos";"BURGOS";"BURGOS";"610456387";"";"";"josemuelas67@gmail.com";"";"";"96";"-3,675791";"42,349339";"";
"09/000115";"Cafetería";"2ª - 1 Taza";"LA TABERNA";"CL/COMUNEROS DE CASTILLA, 12";"09200";"Burgos";"Miranda de Ebro";"MIRANDA DE EBRO";"MIRANDA DE EBRO";"947313013";"";"";"";"";"";"31";"";"";"";
"09/000121";"Cafetería";"2ª - 1 Taza";"LA OLA";"Avenida La Paz 31";"09004";"Burgos";"Burgos";"BURGOS";"BURGOS";"622359909";"";"";"merindolas@hotmail.com";"";"";"15";"-3,690646";"42,345689";"Si";
"09/000118";"Cafetería";"2ª - 1 Taza";"KOBOLD";"CTRA. DE POZA, Nº 59";"09007";"Burgos";"Burgos";"BURGOS";"";"480467";"";"";"";"";"";"36";"";"";"";
"09/000122";"Cafetería";"2ª - 1 Taza";"LA TARARA";"Ronda Del Ferrocarril, 27";"09200";"Burgos";"Miranda de Ebro";"MIRANDA DE EBRO";"MIRANDA DE EBRO";"629429915";"";"";"manuelcg55@gmail.com";"";"";"85";"";"";"Si";
"09/000128";"Cafetería";"2ª - 1 Taza";"LOS BRASEROS";"CL/SEVERO OCHOA, Nº 7";"09006";"Burgos";"Burgos";"BURGOS";"BURGOS";"947234123";"";"";"";"";"";"60";"";"";"Si";
"09/000131";"Cafetería";"2ª - 1 Taza";"MERCADO SUR";"MERCADO SUR, MODULO 25,26,27";"09002";"Burgos";"Burgos";"BURGOS";"BURGOS";"947272768";"";"";"";"";"";"16";"";"";"";
"09/000133";"Cafetería";"2ª - 1 Taza";"PANGUA";"CARRETERA N-I, KM. 330";"09294";"Burgos";"Condado de Treviño";"PANGUA";"";"37 32 88";"";"";"";"";"";"70";"";"";"";
"24/000289";"Cafetería";"2ª - 1 Taza";"AITOR";"C/ Las Angustias, 27";"24540";"León";"Cacabelos";"CACABELOS";"";"987564157";"";"";"";"";"";"36";"";"";"";
"09/000136";"Cafetería";"2ª - 1 Taza";"CAMPING RIO NELA";"CL/ZOCILLA, S/N";"09540";"Burgos";"Trespaderne";"TRESPADERNE";"TRESPADERNE";"601920072";"";"";"";"";"";"36";"";"";"";
"37/000185";"Cafetería";"2ª - 1 Taza";"LA PISCINA";"C/ LLANO LOPEZ, S/N";"37710";"Salamanca";"Candelario";"CANDELARIO";"CANDELARIO";"000000000";"";"";"";"";"";"36";"";"";"";
"24/000291";"Cafetería";"1ª - 2 Tazas";"CIUDAD DE LEON";"Carretera NACIONAL 601, SALIDA A GOLPEJAR";"24195";"León";"Valdefresno";"GOLPEJAR DE LA SOBARRIBA";"GOLPEJAR DE LA SOBARRIBA";"666039885";"";"";"";"";"";"60";"";"";"Si";
"24/000290";"Cafetería";"1ª - 2 Tazas";"LA CANTINA DEL PARAISO";"PARROCO PABLO DIEZ, 115";"24010";"León";"San Andrés del Rabanedo";"TROBAJO DEL CAMINO";"TROBAJO DEL CAMINO";"633838288";"";"";"";"";"";"43";"-5,598042";"42,598289";"";
"37/000186";"Cafetería";"2ª - 1 Taza";"DON QUIJOTE";"CARRT.ALDEALENGUA KM,4";"37193";"Salamanca";"Cabrerizos";"CABRERIZOS";"";"923/20.90.52";"";"";"";"";"";"40";"";"";"";
"37/000187";"Cafetería";"2ª - 1 Taza";"LA MATA";"C/.LA MATA, 3";"37623";"Salamanca";"Nava de Francia";"NAVA DE FRANCIA";"NAVA DE FRANCIA";"923/16.42.90";"";"";"";"";"";"40";"";"";"";
"05/000051";"Cafetería";"2ª - 1 Taza";"LA DALIA";"C/REGINO RODRIGUEZ, 1";"05429";"Ávila";"Santa María del Tiétar";"SANTA MARIA DEL TIETAR";"";"91 8662433";"";"";"";"";"";"20";"";"";"";
"09/000137";"Cafetería";"2ª - 1 Taza";"CASTILLA";"C/ VICENTE ALEXANDRE, Nº 7";"09007";"Burgos";"Burgos";"BURGOS";"";"947 221005";"";"";"";"";"";"55";"";"";"";
"37/000188";"Cafetería";"2ª - 1 Taza";"LE MANS";"RUA MAYOR, 28";"37002";"Salamanca";"Salamanca";"SALAMANCA";"";"923/27.07.84";"";"";"";"";"";"30";"";"";"";
"37/000189";"Cafetería";"2ª - 1 Taza";"PLAZA";"PLAZA DE ESPAÑA, 7-9";"37004";"Salamanca";"Salamanca";"SALAMANCA";"";"923/22.93.45";"";"";"";"";"";"45";"";"";"";
"05/000052";"Cafetería";"2ª - 1 Taza";"EXE REINA ISABEL";"Paseo DE LA ESTACION 17";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920251022";"615299582";"";"jrecepcion@exereinaisabel.com";"";"";"101";"-4,685633";"40,65719";"Si";
"37/000190";"Cafetería";"2ª - 1 Taza";"CACHO";"C/CRESPO RASCON,22";"37007";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923/26.66.34";"";"";"";"";"";"43";"";"";"";
"37/000191";"Cafetería";"2ª - 1 Taza";"IL CAPRICCIO D'ITALIA";"C/ PUERTA ZAMORA, 1-2";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923611964";"657474470";"";"rodrigomadina@hotmail.es";"";"";"40";"";"";"";
"24/000292";"Cafetería";"2ª - 1 Taza";"CAMINO DE SANTIAGO";"";"24392";"León";"Villadangos del Páramo";"VILLADANGOS DEL PARAMO";"";"987680253";"";"";"";"";"";"37";"";"";"";
"37/000194";"Cafetería";"2ª - 1 Taza";"PREMIER 24 HORAS";"GRAN VIA, 58";"37001";"Salamanca";"Salamanca";"SALAMANCA";"";"923/26.01.15";"";"";"";"";"";"46";"";"";"";
"37/000195";"Cafetería";"2ª - 1 Taza";"RETIRO DEL CAMPUS";"AVDA. CHAMPAGNAT Nº 54";"37007";"Salamanca";"Salamanca";"SALAMANCA";"";"923/23.32.52";"";"";"";"";"";"135";"";"";"";
"05/000053";"Cafetería / Bar";"2ª - 1 Taza";"KEBAB ARABESCA";"BURGOHONDO,  13";"05002";"Ávila";"Ávila";"AVILA";"AVILA";"920038633";"610601840";"";"";"";"";"49";"";"";"";
"24/000293";"Cafetería";"2ª - 1 Taza";"OCHOA";"CALLE VELAZQUEZ, 5";"24350";"León";"León";"LEON";"LEON";"987203311";"";"";"";"";"";"";"";"";"";
"24/000294";"Cafetería";"2ª - 1 Taza";"RAITAN";"C/ SUERO DE QUIÑONES, 27";"24002";"León";"León";"LEON";"LEON";"987245408";"";"";"";"";"";"48";"";"";"";
"05/000055";"Cafetería";"1ª - 2 Tazas";"BELLA VISTA";"CARRETERA DE AVILA, 15";"05600";"Ávila";"Barco de Ávila (El)";"BARCO DE AVILA (EL)";"";"920 340753";"";"";"";"";"";"30";"";"";"";
"47/000145";"Cafetería / Bar";"2ª - 1 Taza";"CHICOTE";"PUENTE COLGANTE 44";"47007";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983273096";"";"";"";"";"";"116";"";"";"";
"05/000056";"Cafetería";"1ª - 2 Tazas";"PALACIO VALDERRABANOS";"PLAZA DE LA CATEDRAL, 9";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920 211 023";"696970904";"";"reservas@hotelpalaciovalderrabanos.com";"www.hotelpalaciovalderrabanos.com";"";"92";"";"";"";
"24/000296";"Cafetería";"2ª - 1 Taza";"BEDUNIA";"GENERAL BENAVIDES , 53";"24750";"León";"Bañeza (La)";"BAÑEZA (LA)";"";"987640524";"";"";"";"";"";"79";"";"";"";
"42/000071";"Cafetería / Bar";"2ª - 1 Taza";"EL PALACIO";"PLAZA SAN PEDRO, 8";"42300";"Soria";"Burgo de Osma-Ciudad de Osma";"BURGO DE OSMA (EL)";"BURGO DE OSMA (EL)";"605802259";"605802259";"";"";"";"";"93";"";"";"";
"09/000139";"Cafetería / Bar";"2ª - 1 Taza";"D'PALIKE";"Avenida Derechos Humanos 32";"09007";"Burgos";"Burgos";"BURGOS";"BURGOS";"947073110";"";"";"gerencia@vercaalquileressl.com";"";"";"28";"";"";"";
"37/000200";"Cafetería / Bar";"1ª - 2 Tazas";"PUNTO DE ENCUENTRO";"PLAZA DE ESPAÑA, 12";"37480";"Salamanca";"Fuentes de Oñoro";"FUENTES DE OÑORO";"FUENTES DE OÑORO";"923/47.30.04";"";"";"";"";"";"80";"";"";"";
"09/000140";"Cafetería";"2ª - 1 Taza";"HOSPITAL DIVINO VALLES";"CTRA/SANTANDER, S/N";"09006";"Burgos";"Burgos";"BURGOS";"BURGOS";"947 235011";"";"";"";"";"";"113";"";"";"Si";
"47/000146";"Cafetería / Bar";"2ª - 1 Taza";"TABERNA SAN PEDRO REGALADO (cesó el titular)";"ZORRILLA, PASEO, 192";"47006";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983476404";"";"";"";"";"";"88";"";"";"";
"24/000298";"Cafetería";"2ª - 1 Taza";"ADONIS";"CALLE BRIANDA DE OLIVERA, 14";"24004";"León";"León";"LEON";"";"987201202";"";"";"";"";"";"28";"";"";"";
"37/000202";"Cafetería";"2ª - 1 Taza";"DESCANSO";"AUTOVIA CASTILLA A-62, KM. 225";"37427";"Salamanca";"Pedrosillo el Ralo";"PEDROSILLO EL RALO";"";"923/350280";"";"";"";"";"";"20";"";"";"Si";
"37/000203";"Cafetería";"2ª - 1 Taza";"EL PATIO CORDOBES";"GONZALA SANTANA, 2";"37001";"Salamanca";"Salamanca";"SALAMANCA";"";"923 268322";"";"";"";"";"";"";"";"";"";
"49/000028";"Cafetería / Bar";"2ª - 1 Taza";"AREA 221";"CARRETERA 630 - KM 221";"49660";"Zamora";"Villanueva de Azoague";"CASTROPEPE";"CASTROPEPE";"980640120";"";"";"";"";"";"58";"";"";"";
"37/000204";"Cafetería";"2ª - 1 Taza";"SAN ANTONIO";"PASEO DE SAN ANTONIO, 21";"37003";"Salamanca";"Salamanca";"SALAMANCA";"";"923/230405";"";"";"";"";"";"30";"";"";"Si";
"05/000058";"Cafetería";"2ª - 1 Taza";"LA CAPILLA";"FINCA EL FRESNILLO, CTRA. ANTIGUA CEBREROS, KM. 3";"05003";"Ávila";"Ávila";"AVILA";"AVILA";"920 214 234";"920 352 059";"";"naturavila@ctv.es";"www.naturavila.es";"";"68";"";"";"";
"24/000300";"Cafetería";"2ª - 1 Taza";"TEGUISSE";"Calle SAN JUAN DE SAHAGUN, 26";"24007";"León";"León";"LEON";"LEON";"987242471";"";"";"";"";"";"100";"";"";"";
"47/000147";"Cafetería / Bar";"1ª - 2 Tazas";"CONDE ANSUREZ";"Avenida GIJÓN 100";"47009";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983362310";"";"";"";"";"";"50";"";"";"Si";
"42/000072";"Cafetería / Bar";"2ª - 1 Taza";"LA DULCE VENUS";"Calle SAN HIPÓLITO 3  BAJO";"42001";"Soria";"Soria";"SORIA";"SORIA";"633630600";"";"";"";"";"";"80";"";"";"";
"40/000009";"Cafetería / Bar";"2ª - 1 Taza";"DAOIZ";"Calle MARQUÉS DEL ARCO 7";"40003";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"921462030";"";"";"";"";"";"55";"";"";"";
"37/000206";"Cafetería";"2ª - 1 Taza";"PUENTE";"BORNEO,9";"37003";"Salamanca";"Salamanca";"SALAMANCA";"";"923/266464";"";"";"";"";"";"";"";"";"Si";
"24/000301";"Cafetería";"2ª - 1 Taza";"REYES LEONESES";"Calle ABAD VIÑAYO 2 2";"24008";"León";"León";"LEON";"LEON";"987806203";"";"";"";"";"";"44";"";"";"";
"05/000059";"Cafetería";"2ª - 1 Taza";"LA PARADA";"AVDA. JOSE ANTONIO, 12";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920 229 341";"";"";"";"";"";"55";"";"";"";
"24/000302";"Cafetería";"2ª - 1 Taza";"EL CAMINO";"Avenida PARROCO PABLO DIEZ, 99";"24010";"León";"San Andrés del Rabanedo";"TROBAJO DEL CAMINO";"TROBAJO DEL CAMINO";"987218729";"";"";"";"";"";"";"";"";"";
"37/000209";"Cafetería";"2ª - 1 Taza";"LURISA";"DEL RIO,5";"37115";"Salamanca";"Valverdón";"VALVERDON";"";"923/321036";"";"";"";"";"";"45";"";"";"";
"24/000303";"Cafetería";"2ª - 1 Taza";"CAFETERIA DEL POZO";"CTRA SANTANDER KM 4,8";"24012";"León";"Villaquilambre";"VILLARRODRIGO DE LAS REGUERAS";"VILLARRODRIGO DE LAS REGUERAS";"9877281903";"";"";"";"";"";"113";"";"";"";
"47/000150";"Cafetería / Bar";"2ª - 1 Taza";"BRONCE";"Plaza RIBERA DE CASTILLA, PLAZA, 6";"47010";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983373777";"";"";"";"";"";"70";"";"";"Si";
"05/000061";"Cafetería / Bar";"2ª - 1 Taza";"YAKARTA";"CARRETERA DE CEBREROS, S/N";"05270";"Ávila";"Tiemblo (El)";"TIEMBLO (EL)";"TIEMBLO (EL)";"91 8627432";"";"";"";"";"";"36";"";"";"";
"37/000210";"Cafetería";"1ª - 2 Tazas";"MESON DON DIEGO";"LIBERTAD, 48";"37700";"Salamanca";"Béjar";"BEJAR";"BEJAR";"923613161";"";"";"";"";"";"";"";"";"";
"47/000152";"Cafetería / Bar";"2ª - 1 Taza";"MAYVE";"Calle PUENTE COLGANTE 46";"47007";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983302771";"";"";"cl23@cl23.es";"";"";"47";"";"";"Si";
"09/000135";"Cafetería";"2ª - 1 Taza";"PUNTO 1";"C/ Mª. TERESA DE LEON, Nº 2";"09006";"Burgos";"Burgos";"BURGOS";"BURGOS";"947 211670";"";"";"";"";"";"55";"";"";"Si";
"24/000304";"Cafetería";"2ª - 1 Taza";"SLALOM";"JORGE DE MONTEMAYOR, 2";"24007";"León";"León";"LEON";"LEON";"645908181";"";"";"juancarlosfm2@msn.com";"";"";"102";"";"";"";
