"N.Registro";"Especialidades";"Nombre";"Dirección";"C.Postal";"Provincia";"Municipio";"Localidad";"Nucleo";"Teléfono 1";"Teléfono 2";"Teléfono 3";"Email";"web";"Q Calidad";"Plazas";"GPS.Longitud";"GPS.Latitud";"accesible a personas con discapacidad";
"09/000646";"";"EL PUENTE";"CL/EMILIO PRADOS, 10";"09007";"Burgos";"Burgos";"BURGOS";"BURGOS";"666644714";"";"";"";"";"";"20";"";"";"";
"05/000570";"";"EL SOTANILLO";"C/CARRERA, 16";"05417";"Ávila";"Guisando";"GUISANDO";"";"";"";"";"";"";"";"";"";"";"";
"40/000511";"";"CERVECERIA JALIWARY";"Plaza MAYOR, 1";"40219";"Segovia";"Villaverde de Íscar";"VILLAVERDE DE ISCAR";"VILLAVERDE DE ISCAR";"000000000";"";"";"";"";"";"";"";"";"";
"05/003540";"";"EL DESVÁN";"C/ DE LA IGLESIA, Nº 111";"05100";"Ávila";"Navaluenga";"NAVALUENGA";"NAVALUENGA";"607347191";"";"";"";"";"";"";"";"";"";
"05/002201";"";"BBMAS";"C/ LA HERREN S/N";"05116";"Ávila";"Serranillos";"SERRANILLOS";"";"";"";"";"";"";"";"";"";"";"";
"05/003251";"";"M.J.";"CALZADA VIEJA Nº 31";"05191";"Ávila";"Niharra";"NIHARRA";"NIHARRA";"1";"";"";"";"";"";"";"";"";"";
"49/002593";"";"EL TORERO";"C/ LAS ERAS, 48";"49600";"Zamora";"Benavente";"BENAVENTE";"BENAVENTE";"695260909";"";"";"";"";"";"28";"";"";"";
"49/002978";"";"CRESPO";"Calle La Feria 18  BJ";"49004";"Zamora";"Zamora";"ZAMORA";"ZAMORA";"616278642";"";"";"1jerherase@gmail.com";"";"";"30";"";"";"";
"49/002977";"";"OVALO";"Carretera  PUMAREJO s/n";"49332";"Zamora";"Camarzana de Tera";"CAMARZANA DE TERA";"CAMARZANA DE TERA";"692739374";"";"";"";"";"";"85";"";"";"Si";
"24/007838";"";"OBEID";"LA RAICINA, 7";"24420";"León";"Fabero";"FABERO";"";"987551257";"";"";"";"";"";"15";"";"";"";
"40/001023";"";"CABALLO BLANCO";"c/ OBISPO QUESADA, 22";"40006";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"921425217";"";"";"";"";"";"";"";"";"";
"40/000095";"";"APOLO";"Calle  SANTA TERESA DE JESUS, 23";"40004";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"615306445";"";"";"JAVIERAVIAL@AVIALASESORES.COM";"";"";"45";"";"";"Si";
"40/001417";"";"EL AVE TURUTA";"PLAZA NAYOR, 7";"40001";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"921460894";"";"";"";"";"";"";"";"";"";
"40/000755";"";"LA OJA BLANCA";"Plaza MAYOR 7";"40001";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"921469894";"";"";"";"";"";"";"";"";"";
"40/001157";"";"CERVECERIA SANTA EULALIA";"C/ LA PLATA, Nº 1";"40005";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"921430704";"657903085";"";"";"";"";"37";"";"";"";
"40/001247";"";"ATRIO";"C/ HERMANOS BARRAL, 13";"40001";"Segovia";"Segovia";"SEGOVIA";"";"921463891";"";"";"";"";"";"";"";"";"";
"40/000575";"";"TAPITAS LOCAS";"Calle  CORONEL REXACH 17";"40004";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"681616224";"633787087";"";"H.MUNOZ@NOVA.ES   (GESTOR)";"";"";"";"";"";"";
"40/001593";"";"LA DILIGENCIA 35";"PASEO CONDE SEPULVEDA, 35";"40006";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"921433072";"";"";"";"";"";"";"";"";"";
"24/007840";"";"BAR CUBILLAS";"Plaza MAYOR 35";"24224";"León";"Cubillas de los Oteros";"CUBILLAS DE LOS OTEROS";"CUBILLAS DE LOS OTEROS";"616909207";"";"";"lunatica091@gmail.com";"";"";"";"";"";"";
"05/002365";"";"PARIS RIVOLI";"C/ CORONEL MONASTERIO, 8";"05116";"Ávila";"Arenal (El)";"ARENAL (EL)";"";"";"";"";"";"";"";"";"";"";"";
"40/001854";"";"GINTONI";"C/ LA FUENTE, 4      (MARTINCANO)";"40162";"Segovia";"Aldealengua de Pedraza";"MARTINCANO";"MARTINCANO";"629607713";"";"";"";"";"";"51";"";"";"";
"47/004571";"";"TANTRA";"PICONES 4";"47195";"Valladolid";"Arroyo de la Encomienda";"ARROYO DE LA ENCOMIENDA";"ARROYO DE LA ENCOMIENDA";"983-241778";"";"";"";"";"";"57";"";"";"";
"40/000064";"";"EL ANTIGUO CAFE";"Plaza DE LA UNIVERSIDAD 8";"40005";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"921437373";"";"";"";"";"";"62";"";"";"";
"37/000661";"";"VIA ZERO";"Pº ESTACION, 97-99";"37004";"Salamanca";"Salamanca";"SALAMANCA";"";"923235073";"";"";"";"";"";"";"";"";"";
"37/004121";"";"CASYLEO";"Pº DOCTOR TORRES VILLARROEL, 37";"37006";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"000000000";"";"";"";"";"";"";"";"";"";
"05/003541";"";"CLUB CARIBE";"CARRETERA DE PEÑARANDA Nº 10";"05220";"Ávila";"Madrigal de las Altas Torres";"MADRIGAL DE LAS ALTAS TORRES";"MADRIGAL DE LAS ALTAS TORRES";"675092005";"682590798";"";"";"";"";"";"";"";"";
"37/004783";"";"CHAN BU WANG";"Calle FERNANDO DE ROJAS 17  BJ";"37005";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"617007236";"607576281";"";"750576220@qq.com";"";"";"43";"";"";"Si";
"34/002443";"";"ANELKA";"LA CONSTITUCIÓN, S/N.";"34131";"Palencia";"Villoldo";"VILLOLDO";"";"979827109";"609122234";"";"";"";"";"47";"";"";"";
"37/004784";"";"EL CHARRO ROCK";"PZA. SAN JUSTO,  5, BAJO";"37001";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"629252036";"";"";"";"";"";"12";"";"";"";
"37/004782";"";"CENTRO SOCIAL";"PZA. ESPAÑA, S/N";"37405";"Salamanca";"Cantalpino";"CANTALPINO";"";"626977129";"";"";"";"";"";"29";"";"";"Si";
"05/002161";"";"SERAFIN";"C/ ALDEA, 2";"05571";"Ávila";"Navacepedilla de Corneja";"NAVACEPEDILLA DE CORNEJA";"";"";"";"";"";"";"";"";"";"";"";
"40/000014";"";"LA ESCAPADA";"Calle  AGAPITO MARAZUELA, 22";"40005";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"921436493";"";"";"";"";"";"36";"";"";"";
"37/004785";"";"D'CHYLA";"C/ DE LA GUARDIA CIVIL, 8";"37447";"Salamanca";"Rollán";"ROLLAN";"ROLLAN";"625591225";"";"";"";"";"";"";"";"";"";
"47/004572";"";"ROOTS";"GARCÍA LESMES 5 (ENTRADA POR C/ CADENA )";"47004";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"637829200";"";"";"adgroots@gmail.com";"";"";"21";"";"";"";
"47/004573";"";"LOOKBEL";"Calle MIRABEL 13";"47010";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983353979";"";"";"diana@gestycovalladolid.com";"";"";"38";"";"";"";
"24/007841";"";"SEYCA";"SEYCA, C.B.";"24010";"León";"San Andrés del Rabanedo";"TROBAJO DEL CAMINO";"TROBAJO DEL CAMINO";"620916185";"";"";"";"";"";"";"";"";"";
"24/007842";"";"GRAN CAPITAN";"C/ AZORIN, 29, ESQ. GRAN CAPITAN";"24010";"León";"San Andrés del Rabanedo";"TROBAJO DEL CAMINO";"TROBAJO DEL CAMINO";"665907397";"";"";"";"";"";"36";"";"";"Si";
"40/001852";"";"BOLERA SALA 3";"C/ EL PARQUE, 3";"40569";"Segovia";"Grajera";"GRAJERA";"";"686143937";"";"";"";"";"";"197";"";"";"";
"40/001853";"";"DISCOTECA SALA 3";"C/ EL PARQUE, 3";"40569";"Segovia";"Grajera";"GRAJERA";"";"686143937";"";"";"";"";"";"115";"";"";"";
"09/004584";"";"MACUMBA";"CR/BURGOS-SORIA, Km. 5";"09620";"Burgos";"Revillarruz";"REVILLARRUZ";"";"";"";"";"";"";"";"";"";"";"";
"40/001857";"";"TABERNA LOS ROBLES";"C/ REAL, Nº 1";"40160";"Segovia";"Torrecaballeros";"TORRECABALLEROS";"";"921401116";"";"";"";"";"";"49";"";"";"";
"40/000853";"";"EL NUEVO BOMBÍN";"Carretera DE VILLACASTÍN 12  LOCAL";"40006";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"921049506";"695973596";"";"";"";"";"28";"";"";"";
"47/003065";"";"EPI";"QUEBRADA 18";"47011";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983-257710";"";"";"";"";"";"";"";"";"";
"47/004574";"";"BURGUER-TEXAS";"CANTERAC 41";"47012";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983399266";"658870912";"";"";"";"";"48";"";"";"";
"47/004575";"";"PUENTE ROMANO";"CAMINO VIEJO DE SIMANCAS, KM. 6";"47130";"Valladolid";"Simancas";"SIMANCAS";"SIMANCAS";"983-591621";"";"";"";"";"";"240";"";"";"";
"09/003715";"";"SANTA BARBARA";"CL/SAN JUAN DE LOS LAGOS, 11";"09006";"Burgos";"Burgos";"BURGOS";"";"947211892";"620619099";"";"";"";"";"14";"";"";"Si";
"40/001858";"";"ENCUENTROS";"C/ REAL, 96";"40194";"Segovia";"Palazuelos de Eresma";"PALAZUELOS DE ERESMA";"PALAZUELOS DE ERESMA";"921449656";"";"";"";"";"";"73";"";"";"";
"37/000524";"";"IDEAL";"PRADOS, 6, BAJO";"37531";"Salamanca";"Serradilla del Arroyo";"SERRADILLA DEL ARROYO";"";"923489010";"";"";"";"";"";"";"";"";"";
"09/004589";"";"BLACK AND WHITE";"AVDA/BURGOS, 4";"09500";"Burgos";"Medina de Pomar";"MEDINA DE POMAR";"MEDINA DE POMAR";"638292108";"";"";"";"";"";"16";"";"";"";
"09/004590";"";"COLLADO LINDO";"Calle Lavaderos, 1";"09007";"Burgos";"Burgos";"BURGOS";"BURGOS";"635951164";"";"";"";"";"";"28";"";"";"Si";
"05/002638";"";"LOLA";"C/ VALLESPIN Nº 47";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"654691248";"";"";"";"";"";"";"";"";"";
"24/007843";"";"EL HORNO DE VILLAOBISPO";"LAS FUENTES, 42";"24195";"León";"Villaquilambre";"VILLAOBISPO DE LAS REGUERAS";"VILLAOBISPO DE LAS REGUERAS";"620261566";"";"";"rodrigodiezmachio@gmail.com";"";"";"17";"";"";"Si";
"24/005859";"";"POLBIÑO NEOPULPERIA";"CORRAL DE SAN GUISAN, 10";"24003";"León";"León";"LEON";"LEON";"697920063";"657492416";"";"";"";"";"";"";"";"";
"24/005952";"";"CARAMBA";"AVDA. LACIANA, 4";"24100";"León";"Villablino";"VILLABLINO";"VILLABLINO";"987472111";"";"";"";"";"";"";"";"";"";
"24/007844";"";"LA TABERNA";"Calle  ESPOZ Y MINA 1";"24010";"León";"San Andrés del Rabanedo";"TROBAJO DEL CAMINO";"TROBAJO DEL CAMINO";"609159229";"";"";"";"";"";"32";"";"";"";
"24/005751";"";"SAN REMO";"PLAZA REPÚBLICA ARGENTINA, 3";"24400";"León";"Ponferrada";"PONFERRADA";"";"659909101";"";"";"";"";"";"";"";"";"";
"40/000018";"";"NEGRESCO 25";"Plaza MAYOR 16";"40001";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"921460882";"921460930";"921460931";"laconcepcion@restaurantelaconcepcion.com";"";"";"15";"";"";"";
"49/002983";"";"LA TABERNA DE MANI";"Plaza  SANTA ROSA 1";"49140";"Zamora";"Tábara";"TABARA";"TABARA";"625645161";"";"";"";"";"";"38";"";"";"Si";
"49/002984";"";"GALYA";"Calle Tenerías, 4";"49002";"Zamora";"Zamora";"ZAMORA";"ZAMORA";"675840667";"";"";"";"";"";"18";"";"";"";
"49/002967";"";"LA LUNA";"LA PAZ, 3";"49166";"Zamora";"Villalcampo";"VILLALCAMPO";"VILLALCAMPO";"980111111";"";"";"";"";"";"22";"";"";"";
"24/000060";"";"CUATRO CAMINOS";"LA PUENTE, 7";"24121";"León";"Sariegos";"AZADINOS";"AZADINOS";"987248794";"650603252";"";"";"";"";"";"";"";"";
"24/004484";"";"NEW  WAVE";"Calle HERMINIO RODRIGUEZ 1";"24850";"León";"Boñar";"BOÑAR";"BOÑAR";"648642619";"";"";"";"";"";"";"";"";"";
"24/007845";"";"DANSER";"SAN RAFAEL, 13";"24007";"León";"León";"LEON";"";"654451053";"";"";"";"";"";"";"";"";"";
"40/000607";"";"PINO - DIDO";"Calle CÁNDIDO LOPEZ 2";"40004";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"669158186";"";"";"";"";"";"";"";"";"";
"24/006025";"";"DON ANGEL";"LA CAÑADA, 2";"24009";"León";"León";"LEON";"LEON";"987264555";"";"";"";"";"";"";"";"";"";
"24/007846";"";"GLASGOW BAR";"CERVANTES, 45 BAJO";"24300";"León";"Bembibre";"BEMBIBRE";"BEMBIBRE";"605055199";"605055199";"";"";"";"";"";"";"";"";
"34/001745";"";"GÓLGOTA";"Calle  MANCORNADOR, 10";"34001";"Palencia";"Palencia";"PALENCIA";"PALENCIA";"686962702";"";"";"";"";"";"";"";"";"";
"24/002875";"";"LUNA";"AVDA. CONSTITUCIÓN, 35";"24320";"León";"Sahagún";"SAHAGUN";"";"";"";"";"";"";"";"";"";"";"";
"05/003542";"";"LA CABAÑA";"PLAZA DE ESPAÑA, 33";"05500";"Ávila";"Piedrahíta";"PIEDRAHITA";"PIEDRAHITA";"920 36 02 99";"";"";"";"";"";"65";"";"";"";
"05/003543";"";"CELTIC DRUID";"PLAZA NUEVA, 4-6";"05230";"Ávila";"Navas del Marqués (Las)";"NAVAS DEL MARQUES (LAS)";"NAVAS DEL MARQUES (LAS)";"918971454";"636109087";"";"matute.jmj@gmail.co";"";"";"206";"";"";"";
"24/007847";"";"NOA";"ROA DE LA VEGA, 3";"24002";"León";"León";"LEON";"";"987 178469";"";"";"";"";"";"28";"";"";"";
"37/003745";"";"CEPA";"PZA. CONSTITUCION, 5";"37485";"Salamanca";"Villar de la Yegua";"VILLAR DE LA YEGUA";"VILLAR DE LA YEGUA";"646379287";"";"";"";"";"";"";"";"";"";
"37/002180";"";"EL CRUCE";"CTRA. EL PAYO, 1";"37523";"Salamanca";"Peñaparda";"PEÑAPARDA";"PEÑAPARDA";"60937195";"";"";"";"";"";"";"";"";"";
"37/003838";"";"I.E.S. VENANCIO BLANCO";"C/ FILIPINAS, 33";"37003";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923281224";"686509818";"";"";"";"";"";"";"";"";
"42/000409";"";"PEÑA NEGRA";"SAN MIGUEL, 19";"42147";"Soria";"Montenegro de Cameros";"MONTENEGRO DE CAMEROS";"";"941468095";"";"";"";"";"";"24";"";"";"";
"47/002226";"";"LA MIMOSA";"Calle CALDERON DE LA BARCA 3";"47410";"Valladolid";"Laguna de Duero";"LAGUNA DE DUERO";"LAGUNA DE DUERO";"662054174";"";"";"fjaviercortijo@gmail.com";"";"";"51";"";"";"";
"24/000890";"";"ISLALEON";"Calle LA FUENTE, 101";"24010";"León";"San Andrés del Rabanedo";"TROBAJO DEL CAMINO";"TROBAJO DEL CAMINO";"987000000";"";"";"";"";"";"";"";"";"";
"24/005118";"";"LA PAMPA";"MARQUESES DE SAN ISIDRO, 6";"24004";"León";"León";"LEON";"LEON";"987211566";"";"";"";"";"";"";"";"";"";
"24/001195";"";"GOM'S";"AVDA. DE ROMA, 18";"24001";"León";"León";"LEON";"LEON";"987000000";"";"";"";"";"";"";"";"";"";
"09/003993";"";"PEÑA SAN JUAN DEL MONTE";"CL/SAN JOSÉ,  11";"09002";"Burgos";"Burgos";"BURGOS";"BURGOS";"947275085";"";"";"";"";"";"14";"";"";"Si";
"24/003732";"";"SUSANA";"REAL, 59";"24009";"León";"Santovenia de la Valdoncina";"VILLACEDRE";"VILLACEDRE";"";"";"";"";"";"";"";"";"";"";
"47/001570";"";"FAMA";"MIGUEL DE PRADO, Nº 8";"47004";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983399266";"634779413";"";"";"";"";"";"";"";"Si";
"47/002229";"";"LA BOHEMIA";"Plaza ANTIGUA 4";"47001";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"637914563";"";"";"";"";"";"";"";"";"";
"49/002974";"";"RITMO 60";"Avenida  Plaza de Toros, 1";"49007";"Zamora";"Zamora";"ZAMORA";"ZAMORA";"645405257";"";"";"";"";"";"32";"";"";"";
"49/001108";"";"REYES CATÓLICOS";"AVDA. LUIS RODRÍGUEZ DE MIGUEL, 2";"49800";"Zamora";"Toro";"TORO";"TORO";"669591061";"";"";"";"";"";"26";"";"";"";
"37/004786";"";"GOTAS Y BARETO";"SAN ANTONIO, 26, BAJO";"37770";"Salamanca";"Guijuelo";"GUIJUELO";"GUIJUELO";"651806836";"";"";"";"";"";"246";"";"";"";
"40/001635";"";"LA IGLESIA";"C/ MAYOR, 5";"40165";"Segovia";"Prádena";"PRADENA";"PRADENA";"606713777";"";"";"";"";"";"";"";"";"";
"24/007849";"";"EL RINCON DE ANGEL";"Calle MARIANO FORTUNY 4";"24193";"León";"Villaquilambre";"NAVATEJERA";"NAVATEJERA";"625506103";"";"";"";"";"";"30";"";"";"";
"05/003544";"";"EL ANTICUARIO";"PLAZA DE ESPAÑA, 2";"05100";"Ávila";"Navaluenga";"NAVALUENGA";"";"607990939";"";"";"";"";"";"68";"";"";"";
"24/007850";"";"CAFE BAR SILVER";"LOS ROBLES, 4";"24007";"León";"León";"LEON";"LEON";"665860324";"";"";"";"";"";"63";"";"";"";
"24/007822";"";"EL TIZON";"Calle CARNICERIAS, 1";"24003";"León";"León";"LEON";"LEON";"987256049";"";"";"";"";"";"25";"";"";"";
"05/003094";"";"EL PUERTO";"CARRETERA BURGOHONDO S/N";"05116";"Ávila";"Serranillos";"SERRANILLOS";"";"";"";"";"";"";"";"";"";"";"";
"24/007851";"";"TELECLUB";"Calle PATRICIO DEL REGUERO 2";"24391";"León";"Chozas de Abajo";"MOZONDIGA";"MOZONDIGA";"659140843";"";"";"";"";"";"36";"";"";"";
"34/001488";"";"EL RINCON";"PLAZA SAN JULIAN, 3";"34129";"Palencia";"Carrión de los Condes";"CARRION DE LOS CONDES";"";"";"";"";"";"";"";"";"";"";"";
"40/000166";"";"MONTEAZUL";"Calle VEGA ALTA 2";"40396";"Segovia";"Cabezuela";"CABEZUELA";"CABEZUELA";"698499950";"921501380";"";"";"";"";"";"";"";"";
"40/001859";"";"KIOSKO PISCINA MUNICIPAL";"Avenida HONTANARES 14";"40490";"Segovia";"Hontanares de Eresma";"HONTANARES DE ERESMA";"HONTANARES DE ERESMA";"639569006";"";"";"";"";"";"41";"";"";"";
"49/002986";"";"ALFONSO XIII";"C/ EL POZO, 5";"49150";"Zamora";"Moraleja del Vino";"MORALEJA DEL VINO";"MORALEJA DEL VINO";"980571582";"";"";"";"";"";"34";"";"";"";
"49/002987";"";"TRASGU";"Calle  El Pozo 1";"49150";"Zamora";"Moraleja del Vino";"MORALEJA DEL VINO";"MORALEJA DEL VINO";"642288517";"";"";"";"";"";"20";"";"";"Si";
"49/002988";"";"THE NIGHT PUB";"Carretera SALAMANCA 9";"49190";"Zamora";"Morales del Vino";"MORALES DEL VINO";"MORALES DEL VINO";"695065229";"";"";"";"";"";"36";"";"";"Si";
"09/000510";"";"CAFÉ TAPA";"AVDA. DEL CID CAMPEADOR, Nº 24";"09005";"Burgos";"Burgos";"BURGOS";"";"947224554";"";"";"";"";"";"26";"";"";"";
"09/004591";"";"EL ESTRIBO";"BARRIADA JUAN XXIII, 4";"09007";"Burgos";"Burgos";"BURGOS";"BURGOS";"660320853";"";"";"";"";"";"22";"";"";"";
"24/007852";"";"EL REFUGIO";"AVDA. CONSTITUCIÓN, 96";"24830";"León";"Matallana de Torío";"MATALLANA DE TORIO";"MATALLANA DE TORIO";"670700348";"";"";"";"";"";"20";"";"";"";
"47/004576";"";"BIZARRO";"Calle ARRIBAS 18";"47002";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"675485273";"";"";"serisgon@gmail.com";"";"";"44";"";"";"";
"47/004577";"";"MORERUELA";"Calle ALVAREZ TALADRIZ 3";"47007";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983302771";"";"";"CL23@CL23.ES";"";"";"55";"";"";"";
"47/004578";"";"KARTING TORDESILLAS";"PARAJE JUNCALE.POLIG. 5 PARC. 22";"47100";"Valladolid";"Tordesillas";"TORDESILLAS";"";"983-486083";"";"";"";"";"";"89";"";"";"";
"24/007853";"";"SALCE";"MANOCHO, 102";"24120";"León";"Soto y Amío";"CANALES-LA MAGDALENA";"";"697971161";"";"";"";"";"";"";"";"";"";
"24/002173";"";"CENTRAL";"AVDA. LA ESPINA, 47";"24460";"León";"Toreno";"MATARROSA DEL SIL";"";"987428686";"";"";"";"";"";"";"";"";"";
"05/003545";"";"EL SECO";"C/ERMITA, Nº 22";"05100";"Ávila";"Navaluenga";"NAVALUENGA";"";"669990809";"";"";"";"";"";"24";"";"";"";
"40/001328";"";"EL COLI";"Carretera TORREIGLESIAS 4";"40370";"Segovia";"Turégano";"TUREGANO";"TUREGANO";"618008233";"";"";"";"";"";"";"";"";"";
"49/002990";"";"LOS ALPES";"C/ TORO, 40";"49760";"Zamora";"Barcial del Barco";"BARCIAL DEL BARCO";"BARCIAL DEL BARCO";"980641258";"";"";"";"";"";"42";"";"";"";
"49/002991";"";"EL RINCON DE BLANKA";"Calle  VILLALPANDO 42";"49005";"Zamora";"Zamora";"ZAMORA";"ZAMORA";"638091695";"";"";"Blanka_Zamorana@hotmail.com";"";"";"33";"";"";"Si";
"24/004903";"";"CAFE CANTANTE SAN FRANCISCO";"ANTOLIN LOPEZ PELAEZ, 9 sótano";"24400";"León";"Ponferrada";"PONFERRADA";"PONFERRADA";"987402502";"";"";"";"";"";"";"";"";"";
"24/004486";"";"CENTRO";"ANTOLIN LOPEZ PELAEZ, 9- bajo";"24402";"León";"Ponferrada";"PONFERRADA";"PONFERRADA";"678020893";"";"";"";"";"";"";"";"";"";
"40/000617";"";"MARTA";"Calle SANTA ANA, 36";"40145";"Segovia";"Muñopedro";"MUÑOPEDRO";"MUÑOPEDRO";"921179292";"";"";"";"";"";"";"";"";"";
"40/001775";"";"DISCOTECA SOVATA";"CTRA. JEMENUÑO, S/N";"40145";"Segovia";"Muñopedro";"MUÑOPEDRO";"MUÑOPEDRO";"633734500";"";"";"SANDRADONI2015@OUTLOOK.COM";"";"";"";"";"";"";
"24/004921";"";"DOÑA";"CABAÑAS RARAS";"24412";"León";"Cabañas Raras";"CABAÑAS RARAS";"CABAÑAS RARAS";"987403011";"";"";"";"";"";"";"";"";"";
"24/007854";"";"BEGO";"LA BAÑEZA, 28";"24007";"León";"León";"LEON";"LEON";"987176165";"";"";"";"";"";"19";"";"";"";
"40/000102";"";"KIOSKO JARDINILLOS DE SAN ROQUE";"Calle EZEQUIEL GONZÁLEZ S/N";"40002";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"699301855";"";"";"MASKBRASAS@GMAIL.COM";"";"";"20";"";"";"";
"05/002944";"";"EL PONIENTE";"CTRA. VALLADOLID, 32";"05005";"Ávila";"Ávila";"AVILA";"AVILA";"NO TIENE";"";"";"";"";"";"";"";"";"";
"47/002636";"";"GUAJIRA";"ESTACION 69";"47004";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983222243";"656262848";"";"nicolgehisa@hotmail.com";"";"";"";"";"";"";
"47/004579";"";"COSTA DORADA";"COSTA DORADA, Nº 3";"47010";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983-264755";"652-991432";"";"";"";"";"30";"";"";"";
"47/004580";"";"LUZ DE GAS";"DOCTOR MORENO 14";"47008";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"652949688";"";"";"";"";"";"45";"";"";"";
"47/004581";"";"SPIRIT OF ST. LOUIS";"ARZOBISPO MARCELO GONZALEZ 12 entrada Gª Goldaraz";"47007";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983-226117";"";"";"";"";"";"56";"";"";"";
"09/001970";"";"EL COLUMPIO";"Paseo REGINO SAINZ DE LA MAZA 3";"09004";"Burgos";"Burgos";"BURGOS";"BURGOS";"655228666";"";"";"";"";"";"55";"";"";"Si";
"24/003073";"";"EXPORTIVO";"MURILLO, 12";"24420";"León";"Fabero";"FABERO";"FABERO";"630456032";"";"";"";"";"";"";"";"";"";
"24/007855";"";"LA BARRACA";"Carretera DEL PARAMO, S/N";"24763";"León";"Soto de la Vega";"REQUEJO DE LA VEGA";"REQUEJO DE LA VEGA";"987 643662";"";"";"";"";"";"72";"";"";"Si";
"47/004585";"";"CAFÉ OLÉ";"CAMINO BODEGAS 4";"47193";"Valladolid";"Cistérniga";"CISTERNIGA";"CISTERNIGA";"695298586";"";"";"";"";"";"118";"";"";"";
"47/004584";"";"MESON TRAGALDABAS";"BRAVO Y MALDONADO 27";"47491";"Valladolid";"Seca (La)";"SECA (LA)";"SECA (LA)";"983-816683";"";"";"";"";"";"75";"";"";"";
"47/004583";"";"LA PORRONERÍA";"SAN MARTIN 23";"47003";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983156133";"615138391";"";"anamerinosanz@gmail.com";"";"";"49";"";"";"";
"47/004582";"";"EL CORTIJO";"CORREOS 3";"47001";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"654691972";"";"";"";"";"";"30";"";"";"";
"05/003547";"";"LA KASITA";"Calle RIO ESLA 29";"05004";"Ávila";"Ávila";"AVILA";"AVILA";"669124428";"";"";"";"";"";"31";"";"";"";
"24/002308";"";"BRASIL";"SALVADOR, 5";"24400";"León";"Ponferrada";"PONFERRADA";"";"987427357";"";"";"";"";"";"";"";"";"";
"40/001712";"";"EL CARMEN";"C/ ALFONSO VI, 24";"40004";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"921";"";"";"";"";"";"";"";"";"";
"40/001321";"";"SAN CRISTOBAL";"C/ CAMPO, 5";"40004";"Segovia";"Segovia";"SEGOVIA";"";"921432765";"";"";"";"";"";"";"";"";"";
"05/003548";"";"CASA SINDICAL";"C/ BEJARANO, S/N";"05695";"Ávila";"Horcajada (La)";"HORCAJADA (LA)";"HORCAJADA (LA)";"635145014";"";"";"";"";"";"33";"";"";"";
"05/003549";"";"LA TXAPELA";"C/SANCHO DÁVILA, 2-4";"05420";"Ávila";"Sotillo de la Adrada";"SOTILLO DE LA ADRADA";"SOTILLO DE LA ADRADA";"658617865";"";"";"";"";"";"37";"";"";"";
"24/005375";"";"LIMITE";"ELADIA BAYLINA, 42";"24400";"León";"Ponferrada";"PONFERRADA";"";"";"";"";"";"";"";"";"";"";"";
"24/005629";"";"LIBRA";"AVDA MADRID, 63";"24009";"León";"León";"LEON";"";"";"";"";"";"";"";"";"";"";"";
"24/005929";"";"BRUMAS";"CTRA. GENERAL, 11";"24142";"León";"Cabrillanes";"CABRILLANES";"";"987488796";"";"";"";"";"";"";"";"";"";
"24/007856";"";"SAN IGNACIO";"C/ SAN IGNACIO DE LOYOLA, 64 (Esq. La Gaviota, 2)";"24010";"León";"San Andrés del Rabanedo";"SAN ANDRES DEL RABANEDO";"SAN ANDRES DEL RABANEDO";"638062885";"";"";"";"";"";"";"";"";"";
