"N.Registro";"Tipo";"Categoría";"Especialidades";"Nombre";"Dirección";"C.Postal";"Provincia";"Municipio";"Localidad";"Nucleo";"Teléfono 1";"Teléfono 2";"Teléfono 3";"Email";"web";"Q Calidad";"Plazas";"GPS.Longitud";"GPS.Latitud";"accesible a personas con discapacidad";
"49/000058";"Restaurante / Cafetería / Bar";"4ª - 1 Tenedor";"";"MONTECARLO";"Rua  SANTA CATALINA DE RONCESVALLES 32";"49800";"Zamora";"Toro";"TORO";"TORO";"980694723";"";"";"";"";"";"38";"";"";"Si";
"49/000060";"Restaurante";"3ª - 2 Tenedores";"";"MESON DE TORO";"ANTONA GARCIA, 16";"49800";"Zamora";"Toro";"TORO";"TORO";"980692818";"";"";"";"";"";"40";"";"";"";
"49/000061";"Restaurante / Bar";"3ª - 2 Tenedores";"";"LOS ROBLES";"Carretera PUEBLA DE SANABRIA A RIBADELAGO, KM. 13,400";"49360";"Zamora";"Galende";"RIBADELAGO";"RIBADELAGO";"980626735";"699903102";"";"2018losrobles@gmail.com";"";"";"44";"-6,71368";"42,175";"Si";
"49/000062";"Restaurante";"3ª - 2 Tenedores";"";"MAR ROJO";"CTRA. ZAMORA-SANTIAGO, KM. 394";"49394";"Zamora";"Requejo";"REQUEJO";"REQUEJO";"980622491";"";"";"";"";"";"70";"";"";"";
"49/000068";"Restaurante / Bar";"3ª - 2 Tenedores";"";"MESÓN SANABRIA";"Carretera Villacastín a Vigo, s/n";"49396";"Zamora";"Cobreros";"CASTRO DE SANABRIA";"CASTRO DE SANABRIA";"980620385";"";"";"";"";"";"580";"";"";"";
"49/000069";"Restaurante";"4ª - 1 Tenedor";"";"LOS CHANOS - EL RUSO";"Carretera del Lago, 19";"49360";"Zamora";"Galende";"GALENDE";"GALENDE";"980626742";"660452660";"";"";"";"";"72";"";"";"";
"49/000072";"Restaurante / Bar";"3ª - 2 Tenedores";"";"MARTIN";"PZA. ESPAÑA, 1";"49362";"Zamora";"Galende";"RIBADELAGO DE FRANCO";"RIBADELAGO DE FRANCO";"980626759";"980626771";"";"";"";"";"24";"-6,738956";"42,114461";"";
"49/000073";"Restaurante / Bar";"3ª - 2 Tenedores";"";"MATEOS";"Avenida RUTA DE LA PLATA 13";"49700";"Zamora";"Corrales del Vino";"CORRALES";"CORRALES";"653918014";"";"";"cateringmateos@hotmail.com";"";"";"120";"";"";"Si";
"49/000076";"Restaurante";"4ª - 1 Tenedor";"";"ROSA MARI";"PZA. DEL SOL, 5";"49149";"Zamora";"Montamarta";"MONTAMARTA";"MONTAMARTA";"980550271";"630440366";"";"";"";"";"50";"";"";"";
"49/000080";"Restaurante / Bar";"3ª - 2 Tenedores";"";"PALAS";"Carretera MADRID-CORUÑA, KM. 261";"49600";"Zamora";"Benavente";"BENAVENTE";"BENAVENTE";"980630888";"";"";"";"";"";"250";"-5,649694";"41,993293";"Si";
"49/000084";"Restaurante / Bar";"4ª - 1 Tenedor";"";"BODEGA VALCABADINO";"Carretera ALCAÑICES, KM. 3";"49027";"Zamora";"Zamora";"ZAMORA";"ZAMORA";"980510038";"980569391";"";"bodegasvalcabadino@bodegasvalcabadino.es";"";"";"150";"-5,7602573";"41,5074855";"";
"49/000085";"Restaurante";"4ª - 1 Tenedor";"";"RIO SOL";"CTRA. CASTRO";"49300";"Zamora";"Puebla de Sanabria";"PUEBLA DE SANABRIA";"PUEBLA DE SANABRIA";"980620858";"";"";"";"";"";"36";"";"";"";
"49/000091";"Restaurante";"3ª - 2 Tenedores";"";"KIKES";"PZA. ESPAÑA, 2";"49362";"Zamora";"Galende";"RIBADELAGO DE FRANCO";"RIBADELAGO DE FRANCO";"980626829";"";"";"";"";"";"18";"-6,738846";"42,114383";"";
"49/000093";"Restaurante / Cafetería / Bar";"4ª - 1 Tenedor";"";"EL FOLGOSO";"CTRA PUEBLA DE S. A SAN MARTÍN DE CASTAÑEDA, 13";"49361";"Zamora";"Galende";"VIGO";"VIGO";"980626774";"980030902";"";"sanabriagestion@gmail.com";"";"";"160";"";"";"Si";
"49/000104";"Restaurante";"3ª - 2 Tenedores";"";"CASA CIPRI";"Calle JUAN II 3";"49011";"Zamora";"Zamora";"ZAMORA";"ZAMORA";"980515871";"";"";"casacipri@casacipri.com";"";"";"49";"-5,7388033";"41,5102689";"";
"49/000107";"Restaurante";"4ª - 1 Tenedor";"";"CAPUCHINOS";"Calle CAPUCHINOS 59";"49800";"Zamora";"Toro";"TORO";"TORO";"980692628";"";"";"";"";"";"120";"";"";"";
"49/000110";"Restaurante";"4ª - 1 Tenedor";"";"PACO";"Calle FRANCO, 3";"49183";"Zamora";"San Pedro de la Nave-Almendra";"ALMENDRA";"ALMENDRA";"980522061";"";"";"";"";"";"40";"";"";"";
"49/000113";"Restaurante";"4ª - 1 Tenedor";"";"CENTRAL";"Calle IGLESIA 16";"49170";"Zamora";"Perdigón (El)";"TARDOBISPO";"TARDOBISPO";"980576140";"";"";"";"";"";"40";"";"";"";
"49/000114";"Restaurante / Bar";"4ª - 1 Tenedor";"";"MATELLAN";"Calle  Feria 2";"49519";"Zamora";"Rabanales";"RABANALES";"RABANALES";"980680061";"";"";"";"";"";"87";"";"";"";
"49/000120";"Restaurante";"4ª - 1 Tenedor";"";"LOS HERREROS";"Camino BARRIO";"49350";"Zamora";"Galende";"PUENTE (EL)";"PUENTE (EL)";"980620706";"";"";"";"";"";"40";"";"";"";
"49/000123";"Restaurante / Bar";"4ª - 1 Tenedor";"";"CAPITOL";"Plaza Santa Eulalia 12";"49002";"Zamora";"Zamora";"ZAMORA";"ZAMORA";"980534306";"";"";"capitolzamora@gmail.com";"";"";"66";"";"";"Si";
"49/000124";"Restaurante / Bar";"4ª - 1 Tenedor";"";"CASTROMIL";"Pasaje CARDENAL CISNEROS 2";"49012";"Zamora";"Zamora";"ZAMORA";"ZAMORA";"980521095";"";"";"";"";"";"62";"-5,7359321";"41,5098823";"Si";
"49/000126";"Restaurante / Bar";"4ª - 1 Tenedor";"";"EUSEBIO";"TRES CRUCES, AVDA., 29";"49008";"Zamora";"Zamora";"ZAMORA";"ZAMORA";"980512246";"615365130";"";"";"";"";"49";"-5,7410155";"41,5117252";"";
"49/000127";"Restaurante / Bar";"3ª - 2 Tenedores";"";"PLAZA DE ARMAS";"Plaza de Armas 5";"49300";"Zamora";"Puebla de Sanabria";"PUEBLA DE SANABRIA";"PUEBLA DE SANABRIA";"980620327";"654248642";"";"info@restauranteplazadearmas.es";"";"";"82";"";"";"";
"49/000130";"Restaurante";"3ª - 2 Tenedores";"";"EL JARDIN";"CTRA. LEON, S/N";"49690";"Zamora";"San Cristóbal de Entreviñas";"SAN CRISTOBAL DE ENTREVIÑAS";"SAN CRISTOBAL DE ENTREVIÑAS";"980643576";"";"";"";"";"";"691";"-5,638229";"42,048556";"Si";
"49/000134";"Restaurante / Cafetería / Bar";"3ª - 2 Tenedores";"11#Restaurante-micológico#|";"PADORNELO";"Carretera  NACIONAL, 525 - km. 104";"49574";"Zamora";"Lubián";"PADORNELO";"PADORNELO";"980567939";"";"";"pedripadornelo@hotmail.com";"";"";"62";"";"";"Si";
"49/000136";"Restaurante / Bar";"4ª - 1 Tenedor";"";"VALENTINO";"Carretera  VILLAESCUSA 11";"49400";"Zamora";"Fuentesaúco";"FUENTESAUCO";"FUENTESAUCO";"980601073";"653510681";"";"";"";"";"99";"";"";"Si";
"49/000140";"Restaurante";"3ª - 2 Tenedores";"";"CASA AURELIA";"Carretera DEL RIO";"49459";"Zamora";"Villaralbo";"VILLARALBO";"VILLARALBO";"980539506";"";"";"";"";"";"70";"";"";"Si";
"49/000143";"Restaurante";"4ª - 1 Tenedor";"";"GOFER'S";"SANTA TERESA, 20";"49013";"Zamora";"Zamora";"ZAMORA";"ZAMORA";"980513932";"";"";"";"";"";"77";"-5,7406285";"41,5103806";"";
"49/000150";"Restaurante / Bar";"4ª - 1 Tenedor";"";"JARA";"CTRA. MADRID, KM. 262";"49600";"Zamora";"Benavente";"BENAVENTE";"BENAVENTE";"980636525";"";"";"";"";"";"55";"-5,647533";"41,99234";"Si";
"49/000151";"Restaurante";"3ª - 2 Tenedores";"";"MESON EL ERMITAÑO";"Arrabal HUERTA DE LOS SALADOS";"49600";"Zamora";"Benavente";"BENAVENTE";"BENAVENTE";"980632213";"980636795";"";"info@elermitano.com";"";"";"700";"";"";"Si";
"49/000154";"Restaurante / Bar";"4ª - 1 Tenedor";"";"DEL RIO";"CTRA. ALCAÑICES, 90";"49165";"Zamora";"Muelas del Pan";"RICOBAYO DE ALBA";"RICOBAYO DE ALBA";"980553245";"";"";"";"";"";"50";"-5,989639";"41,535454";"";
"49/000157";"Restaurante";"4ª - 1 Tenedor";"";"GALICIA";"CANDELARIA RUIZ DEL ARBOL,PASAJE,13";"49016";"Zamora";"Zamora";"ZAMORA";"ZAMORA";"980510470";"";"";"";"";"";"20";"-5,7382847";"41,505366";"";
"49/000158";"Restaurante";"4ª - 1 Tenedor";"";"VALDEGODA";"CTRA. DE GALICIA";"49149";"Zamora";"Montamarta";"MONTAMARTA";"MONTAMARTA";"980550210";"";"";"";"";"";"70";"";"";"";
"49/000163";"Restaurante / Bar";"4ª - 1 Tenedor";"";"ESPAÑA";"REQUEJO, 16";"49220";"Zamora";"Fermoselle";"FERMOSELLE";"FERMOSELLE";"980614008";"";"";"restaurante-espana@hotmail.com";"";"";"70";"";"";"";
"49/000166";"Restaurante";"3ª - 2 Tenedores";"";"EL MOSQUITO";"Calle ORO";"49160";"Zamora";"Carbajales de Alba";"CARBAJALES DE ALBA";"CARBAJALES DE ALBA";"980585240";"";"";"";"";"";"60";"";"";"";
"49/000167";"Restaurante / Cafetería / Bar";"3ª - 2 Tenedores";"";"EL HORNO";"RENOVA, 11";"49002";"Zamora";"Zamora";"ZAMORA";"ZAMORA";"980517987";"679157243";"";"";"";"";"71";"";"";"";
"49/000168";"Restaurante / Bar";"4ª - 1 Tenedor";"";"LA TERRAZA";"Subida Laguna de Peces, s/n";"49361";"Zamora";"Galende";"SAN MARTIN DE CASTAÑEDA";"SAN MARTIN DE CASTAÑEDA";"980622036";"";"";"";"";"";"69";"";"";"";
"49/000171";"Restaurante";"4ª - 1 Tenedor";"";"SHANGHAI";"C/ Santa Teresa, 12";"49013";"Zamora";"Zamora";"ZAMORA";"ZAMORA";"980520133";"";"";"";"";"";"90";"-5,7410091";"41,5097901";"";
"49/000172";"Restaurante";"4ª - 1 Tenedor";"";"MESON LOS ARCOS";"SUSPIROS, S/N";"49127";"Zamora";"Castronuevo";"CASTRONUEVO DE LOS ARCOS";"CASTRONUEVO DE LOS ARCOS";"980583445";"";"";"";"";"";"38";"";"";"";
"49/000174";"Restaurante / Bar";"4ª - 1 Tenedor";"";"CAFÉ DE ZAMORA";"Plazuela de San Miguel, 1";"49001";"Zamora";"Zamora";"ZAMORA";"ZAMORA";"980521064";"";"";"";"";"";"48";"";"";"";
"49/000176";"Restaurante";"4ª - 1 Tenedor";"";"LAS TRES CHIMENEAS";"CTRA. ZAMORA-FERMOSELLE, KM. 56";"49230";"Zamora";"Villar del Buey";"FORMARIZ";"FORMARIZ";"980619897";"";"";"";"";"";"42";"-6,306022";"41,324074";"";
"49/000178";"Restaurante / Bar";"4ª - 1 Tenedor";"";"GATO II";"CTRA. PALENCIA, S/N";"49100";"Zamora";"Villanueva del Campo";"VILLANUEVA DEL CAMPO";"VILLANUEVA DEL CAMPO";"980666485";"";"";"";"";"";"74";"";"";"";
"49/000183";"Restaurante / Bar";"3ª - 2 Tenedores";"";"CASA MARIANO";"Avenida Portugal 28";"49016";"Zamora";"Zamora";"ZAMORA";"ZAMORA";"980534487";"";"";"";"";"";"162";"-5,7400189";"41,5049191";"";
"49/000189";"Restaurante / Bar";"3ª - 2 Tenedores";"";"EL ABUELO";"Avenida GENERAL PRIMO DE RIVERA 126";"49600";"Zamora";"Benavente";"BENAVENTE";"BENAVENTE";"980634414";"";"";"mesondelabuelo@grupohlt.com";"www.grupohlt.com/mesondelabuelo";"";"88";"";"";"";
"49/000191";"Restaurante / Bar";"4ª - 1 Tenedor";"";"BODEGA LA SOLANA";"Camino CAMINO DE LAS BODEGAS S/N";"49623";"Zamora";"Villanázar";"VECILLA DE TRASMONTE";"VECILLA DE TRASMONTE";"980563189";"";"";"";"";"";"60";"";"";"";
"49/000193";"Restaurante";"4ª - 1 Tenedor";"";"SANTA MARINA";"POLIGONO INDUSTRIAL,FINCA Nº1";"49690";"Zamora";"San Cristóbal de Entreviñas";"SAN CRISTOBAL DE ENTREVIÑAS";"SAN CRISTOBAL DE ENTREVIÑAS";"980643922";"";"";"";"";"";"40";"-5,649858";"42,033658";"";
"49/000196";"Restaurante / Bar";"4ª - 1 Tenedor";"";"VIANCO";"Avenida GALICIA 26";"49140";"Zamora";"Pozuelo de Tábara";"POZUELO DE TABARA";"POZUELO DE TABARA";"685980238";"";"";"ramosyroman@gmail.com";"";"";"34";"";"";"";
"49/000197";"Restaurante / Cafetería";"4ª - 1 Tenedor";"";"COMPLEJO EL RASO";"CTRA.MADRID-CORUÑA KM 231";"49630";"Zamora";"Villalpando";"VILLALPANDO";"VILLALPANDO";"980667004";"";"";"";"";"";"100";"";"";"Si";
"49/000200";"Restaurante";"4ª - 1 Tenedor";"";"MC DONALD'S";"Avenida CARDENAL CISNEROS";"49010";"Zamora";"Zamora";"ZAMORA";"ZAMORA";"980536488";"";"";"";"";"";"200";"-5,7476606";"41,5163178";"";
"49/000201";"Restaurante / Bar";"4ª - 1 Tenedor";"";"MESON LAS LAGUNAS";"CARRETERA VILLALPANDO";"49136";"Zamora";"Villafáfila";"VILLAFAFILA";"VILLAFAFILA";"980591713";"";"";"";"";"";"30";"";"";"";
"49/000202";"Restaurante / Bar";"4ª - 1 Tenedor";"";"LA VENTA DE LOS ARRIBES";"Carretera Zamora Fermoselle, km. 54";"49230";"Zamora";"Villar del Buey";"FORMARIZ";"FORMARIZ";"980613536";"629548774";"";"reservasarribes@gmail.com";"www.laventadelosarribes.com";"";"50";"-6,316762";"41,322782";"Si";
"49/000206";"Restaurante";"4ª - 1 Tenedor";"";"LA ALISTANA";"PLZ. FERNANDO III, 2";"49010";"Zamora";"Zamora";"ZAMORA";"ZAMORA";"980670588";"";"";"";"";"";"32";"-5,7413707";"41,5137434";"";
"49/000209";"Restaurante / Bar";"4ª - 1 Tenedor";"";"RIBEL (CASA ELÍAS)";"Avenida VICTOR GALLEGO 25";"49010";"Zamora";"Zamora";"ZAMORA";"ZAMORA";"980577637";"";"";"luengoribel@gmail.com";"";"";"30";"-5,7430236";"41,5105251";"";
"49/000211";"Restaurante / Bar";"4ª - 1 Tenedor";"";"DH RESTAURANTE";"Calle Las Margaritas 11";"49190";"Zamora";"Morales del Vino";"MORALES DEL VINO";"MORALES DEL VINO";"980516020";"620199517";"";"romaezamora20@hotmail.com";"";"";"80";"";"";"";
"49/000213";"Restaurante";"4ª - 1 Tenedor";"";"PAMPANO";"Calle LA BODEGA S/N";"49720";"Zamora";"Perdigón (El)";"PERDIGON (EL)";"PERDIGON (EL)";"980576217";"";"";"";"";"";"60";"";"";"";
"49/000215";"Restaurante";"4ª - 1 Tenedor";"";"LA RUEDA";"Calle LA ERA 3";"49160";"Zamora";"Carbajales de Alba";"CARBAJALES DE ALBA";"CARBAJALES DE ALBA";"699566368";"";"";"";"";"";"60";"";"";"";
"42/000228";"Restaurante";"3ª - 2 Tenedores";"";"CASTROVIEJO";"Calle NÍCOLAS ASENJO, Nº 12";"42158";"Soria";"Duruelo de la Sierra";"DURUELO DE LA SIERRA";"DURUELO DE LA SIERRA";"975371318";"";"";"";"";"";"92";"";"";"";
"47/000541";"Restaurante / Cafetería";"4ª - 1 Tenedor";"";"PRIMAVERA";"CROMO, PARCELA R-17";"47012";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983305985";"";"";"";"";"";"51";"-4,730922";"41,639435";"";
"37/000481";"Restaurante";"4ª - 1 Tenedor";"";"LAS MORAS";"SAN PEDRO, 60";"37511";"Salamanca";"Agallas";"AGALLAS";"";"923490302";"";"";"";"";"";"25";"";"";"";
"24/000724";"Restaurante / Bar";"4ª - 1 Tenedor";"";"LA ANDALUZA";"Avenida Avda. de Antibióticos, 123";"24192";"León";"León";"ARMUNIA";"ARMUNIA";"622211010";"";"";"";"";"";"22";"";"";"";
"42/000229";"Restaurante / Bar";"3ª - 2 Tenedores";"";"SAN CRISTOBAL";"Carretera VALLADARES S/N";"42250";"Soria";"Arcos de Jalón";"ARCOS DE JALON";"ARCOS DE JALON";"975320788";"975320789";"";"";"";"";"150";"";"";"";
"47/000543";"Restaurante / Bar";"4ª - 1 Tenedor";"";"CASA PEPE";"CAPITAN NOYA 4";"47520";"Valladolid";"Castronuño";"CASTRONUÑO";"CASTRONUÑO";"983866176";"619408451";"";"";"";"";"68";"";"";"";
"47/000544";"Restaurante / Cafetería";"4ª - 1 Tenedor";"";"LA VIÑA DE RUEDA";"Carretera Ctrª Madrid - Coruña, Km. 171";"47490";"Valladolid";"Rueda";"RUEDA";"RUEDA";"983868071";"635448508";"";"";"";"";"124";"";"";"";
"24/000725";"Restaurante";"4ª - 1 Tenedor";"";"PRADA A TOPE";"C/ Alfonso IX, 9";"24004";"León";"León";"LEON";"";"987257221";"";"";"";"";"";"28";"";"";"";
"47/000545";"Restaurante";"4ª - 1 Tenedor";"";"EL TORREON";"CTRA. Burgos-Portugal, 11";"47100";"Valladolid";"Tordesillas";"TORDESILLAS";"TORDESILLAS";"983770123";"";"";"";"";"";"52";"";"";"Si";
"47/000547";"Restaurante";"4ª - 1 Tenedor";"";"SABOR TAURINO";"Calle PLATERÍA 19";"47002";"Valladolid";"Valladolid";"VALLADOLID";"VALLADOLID";"983380727";"";"";"";"";"";"40";"";"";"";
"47/000548";"Restaurante";"4ª - 1 Tenedor";"";"LOS ARCOS";"Ctrª. Madrid-Coruña, Km.141";"47210";"Valladolid";"Ataquines";"ATAQUINES";"";"983815350";"";"";"";"";"";"348";"";"";"";
"40/000329";"Restaurante / Bar";"4ª - 1 Tenedor";"";"MIAMI";"Paseo EZEQUIEL GONZÁLEZ 6";"40002";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"921432741";"";"";"";"";"";"36";"";"";"";
"34/000238";"Restaurante";"4ª - 1 Tenedor";"";"CASA MAURO";"MAYOR, 16";"34886";"Palencia";"Velilla del Río Carrión";"VELILLA DEL RIO CARRION";"";"979861010";"";"";"";"";"";"75";"";"";"";
"09/000217";"Restaurante / Cafetería";"2ª - 3 Tenedores";"";"SALAMANCA";"MIRANDA, 7";"09002";"Burgos";"Burgos";"BURGOS";"";"947 278002";"";"";"";"";"";"22";"";"";"";
"09/000246";"Restaurante / Bar";"3ª - 2 Tenedores";"";"ASADOR LAS BRASAS";"CL/LAS CALZADAS, 10";"09004";"Burgos";"Burgos";"BURGOS";"BURGOS";"947272580";"947200584";"";"";"";"";"60";"-3,6899112";"42,344225";"Si";
"09/000068";"Restaurante / Bar";"4ª - 1 Tenedor";"";"AVENIDA";"Avenida Cid Campeador 92";"09005";"Burgos";"Burgos";"BURGOS";"BURGOS";"947221022";"";"";"";"";"";"52";"-3,6953826";"42,3508335";"";
"09/000019";"Restaurante / Cafetería";"3ª - 2 Tenedores";"";"BONFIN";"CL/CADENA Y ELETA, 1";"09003";"Burgos";"Burgos";"BURGOS";"BURGOS";"685535538";"";"";"articulo33@hotmail.com";"";"";"45";"";"";"";
"09/000057";"Restaurante / Bar";"3ª - 2 Tenedores";"";"COPACABANA (CIERRE TEMPORAL)";"Avenida CONSTITUCION ESPAÑOLA, AVENIDA, 1";"09007";"Burgos";"Burgos";"BURGOS";"BURGOS";"947227199";"";"";"";"";"";"30";"-3,676549";"42,348635";"";
"09/000100";"Restaurante";"4ª - 1 Tenedor";"";"BURGER KING";"Calle General Santocildes 7";"09003";"Burgos";"Burgos";"BURGOS";"BURGOS";"625199736";"";"";"";"";"";"107";"-3,699535";"42,343677";"Si";
"09/000329";"Restaurante / Bar";"3ª - 2 Tenedores";"";"DON NUÑO";"NUÑO RASURA, 3";"09003";"Burgos";"Burgos";"BURGOS";"";"947 200373";"";"";"";"";"";"98";"";"";"";
"09/000303";"Restaurante / Bar";"4ª - 1 Tenedor";"";"MUSHROOM";"Calle Madrid, 32";"09001";"Burgos";"Burgos";"BURGOS";"BURGOS";"947265302";"";"";"";"";"";"22";"";"";"Si";
"09/000248";"Restaurante";"4ª - 1 Tenedor";"";"GRAN MURALLA";"SANTIAGO, 2";"09007";"Burgos";"Burgos";"BURGOS";"BURGOS";"947237676";"";"";"";"";"";"60";"-3,6755825";"42,3495796";"";
"09/000203";"Restaurante / Bar";"4ª - 1 Tenedor";"";"EL HUERTO DE ROQUE";"CL/SANTA AGUEDA, 8-10";"09003";"Burgos";"Burgos";"BURGOS";"BURGOS";"690931366";"";"";"";"";"";"43";"";"";"";
"09/000040";"Restaurante / Bar";"3ª - 2 Tenedores";"";"MESÓN DEL CID";"Plaza Santa María, 8";"09003";"Burgos";"Burgos";"BURGOS";"BURGOS";"947208715";"947208715";"";"mesondelcid@mesondelcid.es";"www.mesondelcid.es";"";"84";"-3,70541";"42,3402931";"";
"09/000067";"Restaurante";"4ª - 1 Tenedor";"";"MESON LA CUEVA";"PL/SANTA MARÍA,7";"09003";"Burgos";"Burgos";"BURGOS";"BURGOS";"947 208671";"620901010";"";"";"";"";"40";"";"";"";
"09/000053";"Restaurante / Cafetería";"3ª - 2 Tenedores";"";"CASA OJEDA";"VITORIA, 5";"09004";"Burgos";"Burgos";"BURGOS";"BURGOS";"947 209052";"947 206440";"";"ojeda@restauranteojeda.com";"";"";"300";"";"";"";
"09/000131";"Restaurante";"4ª - 1 Tenedor";"";"LA PEDRAJA";"CONSTITUCION ESPAÑOLA, AVENIDA, 76";"09007";"Burgos";"Burgos";"BURGOS";"BURGOS";"947 244121";"";"";"";"";"";"60";"-3,6638322";"42,3464695";"";
"09/000311";"Restaurante / Bar";"4ª - 1 Tenedor";"";"MESON LA PIEDRA";"CL/SAN PEDRO Y SAN FELICES, 45";"09001";"Burgos";"Burgos";"BURGOS";"BURGOS";"947268925";"";"";"";"";"";"68";"-3,7071276";"42,3316462";"";
"09/000008";"Restaurante / Bar";"3ª - 2 Tenedores";"";"POLVORILLA";"Plaza de la Libertad 9";"09004";"Burgos";"Burgos";"BURGOS";"BURGOS";"947257474";"";"";"";"";"";"50";"";"";"";
"09/000304";"Restaurante / Bar";"4ª - 1 Tenedor";"";"PLATO 23";"Avenida Constitución Española, 23";"09007";"Burgos";"Burgos";"BURGOS";"BURGOS";"651384187";"";"";"";"";"";"64";"-3,67";"42,3478119";"";
"09/000016";"Restaurante / Cafetería";"3ª - 2 Tenedores";"";"RINCON DE ESPAÑA";"NUÑO RASURA, 11";"09003";"Burgos";"Burgos";"BURGOS";"";"947 205955";"";"";"";"";"";"150";"";"";"";
"09/000038";"Restaurante / Bar";"4ª - 1 Tenedor";"";"LA COMTIENDA";"Calle Avellanos 10";"09003";"Burgos";"Burgos";"BURGOS";"BURGOS";"947203456";"";"";"";"";"";"56";"-3,701857";"42,343233";"";
"09/000308";"Restaurante";"4ª - 1 Tenedor";"";"SHANG-HAI";"VITORIA, 49";"09006";"Burgos";"Burgos";"BURGOS";"BURGOS";"947 270394";"";"";"";"";"";"90";"-3,6873728";"42,3438062";"";
"09/000028";"Restaurante / Bar";"3ª - 2 Tenedores";"";"SUR";"Calle Oviedo 3";"09002";"Burgos";"Burgos";"BURGOS";"BURGOS";"615438220";"";"";"";"";"";"44";"-3,700156";"42,337924";"Si";
"09/000111";"Restaurante / Bar";"3ª - 2 Tenedores";"";"ZATORRE";"CL/BURGENSE,24";"09002";"Burgos";"Burgos";"BURGOS";"BURGOS";"947265961";"679498543";"";"";"www.restaurantezatorre.com";"";"104";"-3,6951818";"42,3386501";"";
"09/000312";"Restaurante / Cafetería";"3ª - 2 Tenedores";"";"AREA DE SERVICIO DESFILADERO DIRECCIÓN SUR";"Autopista AP1 KM. 63,5 SENTIDO BURGOS";"09219";"Burgos";"Ameyugo";"AMEYUGO";"*DISEMINADO*";"947354077";"";"";"desfiladero.hostel@areas.com";"";"";"165";"";"";"Si";
"09/000005";"Restaurante / Bar";"3ª - 2 Tenedores";"";"MONUMENTO AL PASTOR";"CTRA. N-I, KM. 308";"09219";"Burgos";"Ameyugo";"AMEYUGO";"";"947344355";"947344375";"";"";"";"";"80";"";"";"";
"09/000339";"Restaurante / Bar";"3ª - 2 Tenedores";"";"ARANDOS ORIGEN";"Calle Pedrote, 5";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"ARANDA DE DUERO";"947508463";"680420752";"";"arandosorigen@gmail.com";"";"";"44";"-3,684493";"41,671075";"Si";
"09/000041";"Restaurante";"3ª - 2 Tenedores";"";"CASA FLORENCIO";"CL/ISILLA, Nº 14";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"ARANDA DE DUERO";"947500230";"";"";"info@casaflorencio.com";"www.casaflorencio.com";"";"70";"";"";"Si";
"09/000039";"Restaurante";"3ª - 2 Tenedores";"";"CASA RAFAEL CORRALES";"Calle CARREQUEMADA 2";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"ARANDA DE DUERO";"947500277";"";"";"";"";"";"43";"";"";"";
"09/000274";"Restaurante / Bar";"4ª - 1 Tenedor";"";"EL CASTILLO (CIERRE TEMPORAL)";"PIZARRO, 9";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"ARANDA DE DUERO";"947500071";"";"";"";"";"";"38";"";"";"";
"09/000290";"Restaurante / Bar";"3ª - 2 Tenedores";"";"MESON DEL CID";"C/ LA SAL, 6";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"ARANDA DE DUERO";"947501082";"";"";"";"";"";"46";"";"";"";
"09/000256";"Restaurante / Bar";"3ª - 2 Tenedores";"";"EL CIPRES";"JARDINES DE DON DIEGO, 1";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"";"947 507414";"";"";"";"";"";"80";"";"";"";
"09/000266";"Restaurante / Bar";"4ª - 1 Tenedor";"";"SOL";"Avenida Castilla, 72";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"ARANDA DE DUERO";"635833888";"";"";"xiaoqinwang6@gmail.com";"";"";"77";"-3,692091";"41,660716";"Si";
"09/000207";"Restaurante / Bar";"3ª - 2 Tenedores";"";"ETCETERA";"Avenida Castilla 69";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"ARANDA DE DUERO";"947568670";"673725868";"";"info@riberaaranda.com";"";"";"40";"-3,691117";"41,661332";"";
"09/000118";"Restaurante";"3ª - 2 Tenedores";"";"MESON EL PASTOR";"PZA. LA VIRGENCILLA, 11";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"ARANDA DE DUERO";"947 500428";"";"";"";"";"";"36";"";"";"";
"09/000084";"Restaurante / Bar";"3ª - 2 Tenedores";"";"MESON DE LA VILLA";"CL/LA SAL, 3";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"ARANDA DE DUERO";"947501025";"947501615";"";"mesondelavilla.aranda@gmail.com";"";"";"176";"";"";"";
"09/000073";"Restaurante / Bar";"3ª - 2 Tenedores";"";"MONTECILLO";"Avenida General Gutiérrez, 1";"09400";"Burgos";"Aranda de Duero";"ARANDA DE DUERO";"ARANDA DE DUERO";"947502007";"640298290";"";"javiergardel@gmail.com";"";"";"90";"-3,695574";"41,661818";"Si";
